id,comment_text,severe_toxic,obscene,threat,insult,identity_hate,toxic
92f2e2bc2bffe0d5,you are allowed to edit wikipedia as well and provide sources  ,0.0,0.0,0.0,0.0,0.0,0.0
65cffb86350bd741,talk personal ordinariate apart from the traditional anglican communion  the article should really consider verifying whether groups within the church in the province of the west indies have ever sought a similar canonical structure to the proposed personal ordinariates ,0.0,0.0,0.0,0.0,0.0,0.0
c56788d0d60d94eb,thanks for your response  by that logic  everyting remotely close to history politics is territorial  emi immigration  all kinds of conflicts  we humans are territorial  right agriculture  tourism  real estate seriuosly  we should not engage in wp nor  ,0.0,0.0,0.0,0.0,0.0,0.0
a9459a0ed3ba5621,b  you can t be serious  what a kick in the guts for all those that have sweat blood and tears on this article  shame on you ,0.0,0.0,0.0,0.0,0.0,0.0
e0226ed0a12701cd,this user  hate s religious people and is out to get anyone who isnt just like him  especially people in kiruv ,0.0,0.0,0.0,0.0,0.0,0.0
f1aa7b01aa26fdf4,  the issue wasn t that the information was unsourced  it was that everything i had removed used a personal blog  most likely added to the article by the owner of said site  as a source friend  ,0.0,0.0,0.0,0.0,0.0,0.0
717af680e51654a6,disclosing my affliation to m  sanjayan  whose wikipedia page i just edited i work with sanjayan as a consultant to conservation international ,0.0,0.0,0.0,0.0,0.0,0.0
718843ad4e2fe62b,i am shocked that you haven t been  block yet i am really shocked that you have only been  block  once for incivility  i have honestly never seen you disagree with anyone without making personal remarks about them  it is of course possible that you have disagreed with people without doing this  but the fact that i have observed dozens of disputes between you and others all reverting to this pattern is remarkable  i honestly believe that you are getting into nasty disputes on purpose  i have been editing here since and you probably are the biggest troll i have ever encountered on a wiki seriously  mistress selina kyle and everyking were  block  for much less than what you are responsible for  ,0.0,0.0,0.0,0.0,0.0,0.0
ed76bcdf6a323512, thanks  i ll contact you via your talk page  henceforth  do not make further edits to this article unless you know exactly what you are doing  i ve undone a couple of your edits as they impacted very negatively on readability  unless you are intimately acquainted with the subject matter  please discuss rather than make possible edits  a case in point is your assertion re  a family of silk weavers being descendants of sultan sulaiman shah  you ve obviously not looked at the section i ve headlined the singora legacy this section links to the following reference you didn t read this  did you another issue concerns your edit as shown below the city was initially a southeast asian political model vassal of siam please  this is verbosity taken to the extreme  it s unreadable  it hinders rather than helps  ,0.0,0.0,0.0,0.0,0.0,0.0
c8b90c722ec74f1e,categories are often placed in several other categories see wikipedia categorization for more info on categories as far as the convention yes  it has been what we ve been doing it s done at every nationality s hip hop groups category  see category hip hop groups by nationality the reason we do it this way is so that someone can be looking at category hong kong hip hop  then head over to category hong kong hip hop musicians  and then choose between rappers and groups makes navigation better peace ,0.0,0.0,0.0,0.0,0.0,0.0
da6900689a699f79,to the guy claiming s korea has more patents than the us  i did some research into wipo s latest database to stop both of you from making non sense claims and reveal the truth  so here we go  straight from the horse s mouth  south korea had the world s largest filings per gdp  ahead of all countries south korea had the world s largest filings per r d ahead of all countries south korea had the world s  nd largest filings per million population  ahead of usa and germany  uk and france south korea had the world s  rd largest resident filings ahead of eu and germany  uk  france and canada south korea had  the world s  th largest total patent filings  ahead of eu  germany  canada  uk and france source  http w wipo int export sites w freepublications en patents wipo pu  bitch pdf  so i guess lakshmix claim isn t completely wrong but aerain is right in that the us has more total patents than s korea  i think the sentence simply needs rephrasing  as you can see above ,0.0,0.0,0.0,0.0,0.0,0.0
2f86a49f0c3591ec,support due to notability issues ,0.0,0.0,0.0,0.0,0.0,0.0
ef8ecef3092ea7b1,thank you  talk contribs,0.0,0.0,0.0,0.0,0.0,0.0
4027e2f2c1b2f16a,here s a photo at the nypl  here s a lithograph from valentine s manual file printing house square  new york city png ,0.0,0.0,0.0,0.0,0.0,0.0
bbf2775888053452, the pvv has nothing to do with any definition of libertarianism  i have no idea where that would come from  futhermore  we usually label people by their ideologies  rather than defining ideologies by the people we choose to associate with it  maybe vladimir lenin is right wring and or conservative  lygophile has spoken  ,0.0,0.0,0.0,0.0,0.0,0.0
3e3ebebc959afe6a,i agree  but the inland empire has a  hate  crime epidemic in recent years and the majority of meth drug labs are in the high desert  yucca valley  twentynine palms the region may develop a bad image as a magnet for  hate  groups and the rising crime rate gives us a negative name  i wish we can talk about something else  but it s an issue we must address in the inland empire and stop gangs  drugs or crime before it gets worse  the problem hits hard in palm springs  where a large  gay  lesbian community lives  and palm desert with a large population of european jew s who are holocaust survivors  last year nazi  gangs targeted a few black families  homes in murrieta by  hate  mail and property vandalism  there s a fbi statistic on the number of members in  hate  groups and white supremacists live in the menifee valley between perris and lake elsinore  most residents like myself don t like this and oppose their racist ideology  so it s time for all of us to combat this sort of thing ,0.0,0.0,0.0,0.0,0.0,0.0
